Date,ShopName,Prefecture,longitude,latitude,Open,genres
2021-11-05,サロン卵と私 イオンモール四條畷店,大阪府,135.62810190431765,34.74569087030272,1, #オムライス
2021-06-09,神田たまごけん 池袋WACCA店,東京都,139.71423012812465,35.73144051084478,1, #オムライス
2021-03-21,キッチン・オムレット,富山県,137.17012266975865,36.66311170262429,1, #オムライス
2020-11-20,ポムの樹 オムライスの樹 アミュプラザ宮崎店,宮崎県,131.43071032925604,31.914888298827556,1, #オムライス
2020-11-17,FARMERS CAFE PETIT OMELETTE イオンモール岡崎店,愛知県,137.16235661582218,34.93758778037464,1, #オムライス
2020-06-21,ポムの樹 classic 池袋東武店,東京都,139.71029290281848,35.73073215756321,1, #オムライス
2020-04-01,男のオムライス EGG BOMB 新橋店,東京都,139.75655230581714,35.66634568019774,1, #オムライス
2019-12-31,サロン ウフ エ モア 東急プラザ渋谷店,東京都,139.69966482924508,35.65776699876248,1, #オムライス
2019-10-25,ラケル テラスモール松戸店,千葉県,139.93233765829123,35.817940995040686,1, #オムライス
2019-10-20,ポムの樹 イオンモール鶴見緑地店,大阪府,135.56405631582774,34.7032729804337,1, #オムライス
2019-10-18,サロン卵と私 浜松遠鉄店,静岡県,137.73258912925994,34.703775398777104,1, #オムライス
2019-10-03,3 Little Eggs ららぽーと沼津,静岡県,138.83961772871865,35.11834296803343,1, #オムライス
2019-09-14,farmers egg kitchen イオンモール高岡店,富山県,137.01180165829578,36.724731994991124,1, #オムライス
2019-07-05,OMS CAFE&DINING 沖縄店,沖縄県,127.69794106642964,26.262191549410343,1, #オムライス
2019-06-07,おむらいす亭 山口イオン防府店,山口県,131.5691505781635,34.052467518072234,1, #オムライス
2019-04-26,おむらいす亭 イオンモール神戸北店,兵庫県,135.19279451583023,34.86105528039362,1, #オムライス
2019-03-19,オムライスラボLABO ららぽーと柏の葉店,千葉県,139.94885991585096,35.89366878014533,1, #オムライス
2019-03-16,OMS.錦糸町パルコ店,東京都,139.8136183158471,35.69649788019071,1, #オムライス
2019-02-28,ポムの樹EXPRESS さいたま新都心けやきひろば店,埼玉県,139.6308158292614,35.89340599875909,1, #オムライス
2019-02-20,オムちゃん食堂,大阪府,135.5111628292599,34.70762799877705,1, #オムライス
2019-02-20,たまごっ亭イオンモール大阪ドームシティ店,大阪府,135.47570701582666,34.6704093804424,1, #オムライス
2018-12-01,たまごっ亭 アリオ西新井店,東京都,139.78393608001505,35.77473668026973,1, #オムライス
2018-10-10,たまごっ亭 イオンモール大日店,大阪府,135.580301,34.74871399999999,1, #オムライス
2018-08-17,サロン卵と私 ルクア大阪店,大阪府,135.49370082128019,34.7028860252181,1, #オムライス
2018-08-08,œufs et Legumes ウ・エ・レギューム,東京都,139.77626197828235,35.69937562368221,1, #オムライス
2018-06-16,おむらいす亭 イオンモールいわき小名浜店,福島県,140.9022801599041,36.94685302152403,1, #オムライス
2018-04-13,神田たまごけん 神保町店,東京都,139.7591583156805,35.69616198019095,1, #オムライス
2018-04-02,ポムの樹エクスプレスいちょう 東京大学本郷キャンパス中央食堂店,東京都,139.76154554863564,35.71310561090479,1, #オムライス
2018-04-01,北極星,大阪府,135.49390165690596,34.70311428043376,1, #オムライス
2018-03-16,デリッシュ・ウフ 越谷レイクタウン店,埼玉県,139.82668077759848,35.882733594527295,1, #オムライス
2018-03-15,サロン卵と私 イオンモール座間店,神奈川県,139.42236578007913,35.5003198475757,1, #オムライス
2018-02-20,神田たまごけん福岡天神店,福岡県,130.39529791545755,33.59365254920382,1, #オムライス
2017-10-28,十六雑穀米オムライスと炭焼きハンバーグ専門店 おむらいす亭 イオンモール宮崎店,宮崎県,131.45413637987374,31.92280298133027,1, #オムライス
2017-10-03,十六雑穀米オムライスと炭焼きハンバーグ専門店 おむらいす亭 岡山イオンモール倉敷店,岡山県,133.74330537993404,34.60426308055491,1, #オムライス
2017-09-27,サロン卵と私 自由が丘店,東京都,139.6675818799575,35.607335480308436,1, #オムライス
2017-09-13,ラケル 横浜ノースポートモール店,神奈川県,139.57722541552425,35.55210678022458,1, #オムライス
2017-07-13,ラケル 府中ル・シーニュ店,東京都,139.47735691536752,35.67188713809146,1, #オムライス
2017-07-02,淡路島カレーとオムライスのお店,愛媛県,132.76820031534834,33.84016333632365,1, #オムライス
2017-06-30,ポムの樹 幸せのオムライス＆フレンチトースト アミュプラザ長崎店,長崎県,129.86873751552423,32.75166628097968,1, #オムライス
2017-06-29,サロン卵と私 EQUIA志木店,埼玉県,139.57303891555364,35.82256058016164,1, #オムライス
2017-06-28,farmers egg kitchen（ファーマーズエッグキッチン）,石川県,136.4630105154253,36.39516969809305,1, #オムライス
2017-06-20,ラケル イーアス高尾店,東京都,139.28678577988632,35.6429461397745,1, #オムライス
2017-04-24,おむらいす亭 イオンモール徳島店,徳島県,134.57094437977577,34.061657780698326,1, #オムライス
2017-04-24,オムライス北極星 西宮ガーデンズ店,兵庫県,135.35871937979275,34.744409980519144,1, #オムライス
2017-04-13,ポムの樹 宇都宮インターパークビレッジ店,栃木県,139.90525197981805,36.493407092706086,1, #オムライス
2017-03-18,卵料理・ケーキ ダッキーダック 有楽町店,東京都,139.76158917978395,35.67418738029291,1, #オムライス
2017-03-09,ポムの樹 コピス吉祥寺店,東京都,139.57709351535155,35.70479098018887,1, #オムライス
2017-02-23,ポムズファーム 三宮オーパ２店,兵庫県,135.1942498797589,34.69512408053181,1, #オムライス
2017-01-23,サロン卵と私 新さっぽろ店,北海道,141.4702438799925,43.03765007924931,1, #オムライス
2016-12-23,おむらいす亭 熊本イオンモール熊本店,熊本県,130.7410186793217,32.738511993348524,1, #オムライス
2016-12-09,ポムの樹 イオンモール長久手店,愛知県,137.04836027938282,35.17340426535884,1, #オムライス
2016-10-04,3 Little Eggs ららぽーと湘南平塚,神奈川県,139.35279681503974,35.336282056420295,1, #オムライス
2016-06-23,ポムの樹 町田モディ店,東京都,139.44299767955536,35.54323534523225,1, #オムライス
2016-06-17,3 Little Eggs 町田東急ツインズ,東京都,139.44588926817056,35.5424786480097,1, #オムライス
2016-04-25,ポムの樹セブンパークアリオ柏店,千葉県,140.01084567955021,35.833918329287634,1, #オムライス
2016-04-23,おむらいす亭　愛媛イオンモール今治新都市店,愛媛県,132.95987467950695,34.04435542568833,1, #オムライス
2016-04-20,ポムズグリル KITTE博多店,福岡県,130.41723367949638,33.58891244954584,1, #オムライス
2016-04-19,創作オムライス ポムの樹Jr. ニトリモール枚方店,大阪府,135.6953636795258,34.83863538342229,1, #オムライス
2016-04-15,オムライス専門店 シード,大阪府,135.50402967965982,34.6797889805356,1, #オムライス
2016-03-20,ポムの樹 Jr.イオンモール堺鉄砲町店,大阪府,135.47901367979418,34.59406798055779,1, #オムライス
2016-03-18,ポムの樹 幸せのオムライス＆フレンチトースト　ヨドバシ横浜店,神奈川県,139.61834967981628,35.46769698034135,1, #オムライス
2016-03-15,ポムの樹 幸せのオムライス＆フレンチトースト　ヨドバシ横浜店,神奈川県,135.18687567971938,34.696161980531386,1, #オムライス
2015-12-10,デリッシュ ウフ ららぽーと立川立飛店,東京都,139.41571131535156,35.71317698018693,1, #オムライス
2015-12-10, ヒルトップ レイチェル カフェ ららぽーと立川立飛店,東京都,139.41571131535156,35.71317698018693,1, #オムライス
2015-12-04,ポムの樹 イオンモール常滑店,愛知県,136.8243456797635,34.88191798048445,1, #オムライス
2015-11-25,おむらいす亭ゆめタウン久留米店,福岡県,130.53622031518972,33.32177598081094,1, #オムライス
2015-11-21,家カフェおたま ららぽーと新三郷店,埼玉県,139.86387731525775,35.85951098015311,1, #オムライス
2015-11-19,原宿オムライス アップルツリー,千葉県,139.98847131516598,35.686138337310524,1, #オムライス
2015-11-19,ヒルトップ レイチェル カフェ ららぽーとTOKYO-BAY店,千葉県,139.98847131516598,35.686138337310524,1, #オムライス
2015-11-19,元祖オムライス 北極星 ららぽーとEXPOCITY店,大阪府,135.5332663151742,34.80519538512236,1, #オムライス
2015-09-11,ベビーフェイス プラネッツ 幸田店,愛知県,137.163516,34.89007500000001,1, #オムライス
2015-06-01,ラケル 海老名ビナウォーク店,神奈川県,139.39359299999998,35.451999,1, #オムライス
2015-03-07,ポムの樹 MIDORI長野店,長野県,138.188938,36.64393799999999,1, #オムライス
2015-03-01,ポムの樹 マリエとやま店,富山県,137.21397299999998,36.70052,1, #オムライス
2014-11-20,おむらいす亭 東京イオンモール多摩平の森店,東京都,139.380751,35.661944,1, #オムライス
2013-01-10,ポムの樹 イオンモール札幌発寒店,北海道,35.855005,139.799438,1, #オムライス
2012-11-22,ポムズカーレ　イオンモール成田店,千葉県,35.795521,140.318692,1, #オムライス
2012-11-01,ラケル　シァル鶴見店,神奈川県,35.507832,139.676775,1, #オムライス
2012-09-28,OMU COCO オムココ,香川県,26.213965,127.679646,1, #オムライス
2011-11-12,ラケル　テラスモール湘南店,神奈川県,35.337569,139.446115,1, #オムライス
2011-08-12,卵と私,東京都,35.691638,139.704616,1, #オムライス
2011-02-06,RAKERUイオンモールりんくう泉南店リニューアル,大阪府,34.691705,135.194258,1, #オムライス
2021-09-25,ポムズファーム アリオ亀有店,東京都,139.8501787157009,35.76426303302025,0, #オムライス
2021-09-19,おむらいす亭 イオンモールいわき小名浜店,福島県,140.9022801599041,36.94685302152403,0, #オムライス
2021-09-10,EggEgg キッチン ジョイナステラス 二俣川店,神奈川県,139.52920471569573,35.462154549562015,0, #オムライス
2021-08-27,ポムの樹 マリエとやま店,富山県,137.2117851157175,36.70052488100303,0, #オムライス
2021-06-03,ポムの樹Jr. イオンモール福津店,none,130.4922030157991,33.75373033068821,0, #オムライス
2021-02-22,神田たまごけん イオン新浦安店,千葉県,139.9120245158367,35.649068080201786,0, #オムライス
2021-01-13,RAKERUラケル イーアスつくば店,茨城県,140.0817026158453,36.08619678010171,0, #オムライス
2021-01-08,コケコッコー共和国 たまごかけごはんの店マーム店,三重県,136.52318372925916,34.5939571987789,0, #オムライス
